V0037707,"(3236, 2392)"
V0037708,"(3248, 2271)"
V0037709,"(2322, 3072)"
V0037710,"(3024, 2244)"
V0037711,"(2932, 2332)"
V0037712,"(3024, 2396)"
V0037713,"(3069, 2271)"
V0037714,"(3120, 2476)"
V0037715,"(3128, 2448)"
V0037716,"(3176, 2412)"
V0037717,"(3224, 2440)"
V0037718,"(3072, 2440)"
V0037719,"(3180, 2404)"
V0037720,"(3100, 2336)"
V0037721,"(3100, 2355)"
V0037722,"(3100, 2420)"
V0037723,"(3196, 2392)"
V0037724,"(3100, 2396)"
V0037725,"(3208, 2432)"
V0037726,"(3490, 2049)"
V0037727,"(3444, 2276)"
V0037728,"(3336, 2156)"
V0037729,"(2436, 3114)"
V0037730,"(3228, 2288)"
V0037731,"(3232, 2172)"
V0037732,"(3140, 2420)"
V0037733,"(3076, 2384)"
V0037734,"(3176, 2276)"
V0037735,"(3148, 2292)"
V0037736,"(2900, 2412)"
V0037737,"(2352, 2848)"
V0037738,"(2868, 2344)"
V0037739,"(3225, 2216)"
V0037740,"(3250, 2237)"
V0037741,"(3180, 2274)"
V0037742,"(3300, 2145)"
V0037743,"(3150, 2246)"
V0037744,"(3150, 2257)"
V0037745,"(3184, 2304)"
V0037747,"(4450, 1617)"
V0037748,"(3020, 2392)"
V0037749,"(3009, 2332)"
V0037750,"(3060, 2352)"
V0037751,"(3100, 2315)"
V0037752,"(3096, 2352)"
V0037753,"(2876, 2368)"
V0037754,"(2968, 2348)"
V0037755,"(3072, 2388)"
V0037756,"(3052, 2408)"
V0037757,"(3025, 2396)"
V0037758,"(3050, 2391)"
V0037759,"(3088, 2428)"
V0037760,"(3040, 2440)"
V0037761,"(3072, 2368)"
V0037762,"(3036, 2412)"
V0037763,"(3060, 2432)"
V0037764,"(3108, 2276)"
V0037765,"(4000, 1772)"
V0037766,"(3200, 2535)"
V0037767,"(3450, 2050)"
V0037768,"(3300, 2179)"
V0037769,"(3650, 1952)"
V0037770,"(3500, 2025)"
V0037771,"(3096, 2207)"
V0037772,"(3300, 2174)"
V0037773,"(3490, 2034)"
V0037774,"(3490, 2036)"
V0037775,"(3650, 1929)"
V0037776,"(3504, 2016)"
V0037777,"(3488, 2035)"
V0037778,"(3504, 2040)"
V0037779,"(2376, 3012)"
V0037780,"(2400, 2937)"
V0037781,"(2350, 3064)"
V0037782,"(3000, 2390)"
V0037783,"(3070, 2456)"
V0037784,"(2932, 2312)"
V0037785,"(3000, 2394)"
V0037786,"(3004, 2412)"
V0037787,"(3076, 2304)"
V0037788,"(3000, 2417)"
V0037789,"(3000, 2376)"
V0037790,"(2920, 2324)"
V0037791,"(2950, 2466)"
V0037792,"(2950, 2427)"
V0037793,"(3000, 2395)"
V0037794,"(3000, 2346)"
V0037795,"(3050, 2351)"
V0037796,"(3000, 2360)"
V0037797,"(3000, 2396)"
V0037798,"(2900, 2457)"
V0037799,"(3000, 2397)"
V0037800,"(3136, 2452)"
V0037801,"(3196, 2540)"
V0037802,"(3163, 2432)"
V0037803,"(2518, 3088)"
V0037804,"(3204, 2420)"
V0037805,"(3164, 2426)"
V0037806,"(3164, 2416)"
V0037807,"(3064, 2432)"
V0037808,"(3152, 2452)"
V0037809,"(3191, 2453)"
V0037810,"(3072, 2512)"
V0037811,"(3236, 2404)"
V0037812,"(3168, 2496)"
V0037813,"(3160, 2416)"
V0037814,"(3112, 2428)"
V0037815,"(3112, 2448)"
V0037816,"(3136, 2432)"
V0037817,"(3208, 2436)"
V0037818,"(3120, 2396)"
V0037819,"(3076, 2556)"
V0037820,"(3080, 2572)"
V0037821,"(3088, 2560)"
V0037822,"(3020, 2512)"
V0037823,"(3024, 2524)"
V0037824,"(3024, 2524)"
V0037825,"(3080, 2536)"
V0037826,"(3096, 2572)"
V0037827,"(3080, 2544)"
V0037828,"(3080, 2544)"
V0037829,"(3092, 2540)"
V0037830,"(3060, 2536)"
V0037831,"(3080, 2536)"
V0037832,"(3076, 2536)"
V0037833,"(3120, 2596)"
V0037834,"(3092, 2196)"
V0037835EB,"(2316, 1516)"
V0037835ET,"(2313, 1510)"
V0037836,"(2215, 1458)"
V0037837,"(2220, 1461)"
V0037838,"(2175, 1434)"
V0037839,"(2157, 1417)"
V0037840,"(2226, 1469)"
V0037841,"(2202, 1443)"
V0037842,"(2247, 1479)"
V0037843,"(2217, 1465)"
V0037844,"(2350, 1567)"
V0037845,"(2230, 1489)"
V0037846,"(2253, 1491)"
V0037847,"(2253, 1471)"
V0037848,"(2283, 1497)"
V0037849,"(2259, 1456)"
V0037850,"(2253, 1459)"
V0037851,"(2046, 1312)"
V0037853,"(2295, 1479)"
V0037855,"(3200, 2269)"
V0037856EB,"(2220, 1464)"
V0037856ET,"(2232, 1422)"
V0037857,"(2271, 1466)"
V0037858,"(2236, 1440)"
V0037859,"(2272, 1494)"
V0037860,"(2256, 1450)"
V0037861,"(2247, 1474)"
V0037862,"(2238, 1452)"
V0037864,"(2023, 1347)"
V0037865,"(2020, 1302)"
V0037866,"(2068, 1344)"
V0037867,"(2023, 1336)"
V0037868,"(3300, 2166)"
V0037869EB,"(2038, 1363)"
V0037869ET,"(2053, 1321)"
V0037870,"(2197, 1430)"
V0037871,"(2176, 1390)"
V0037872,"(2202, 1408)"
V0037873,"(2182, 1418)"
V0037874,"(2175, 1410)"
V0037875,"(2169, 1389)"
V0037876,"(2196, 1443)"
V0037877,"(2175, 1402)"
V0037878EB,"(2223, 1468)"
V0037878ET,"(2190, 1434)"
V0037879,"(2224, 1467)"
V0037880,"(2211, 1428)"
V0037881,"(2209, 1431)"
V0037882,"(2191, 1406)"
V0037883,"(2227, 1444)"
V0037884,"(2217, 1426)"
V0037886,"(3184, 2064)"
V0037887EL,"(2175, 1408)"
V0037887ER,"(2202, 1429)"
V0037889,"(3176, 2252)"
V0037890EB,"(2035, 1317)"
V0037890ET,"(2029, 1338)"
V0037891,"(2034, 1330)"
V0037892,"(2058, 1350)"
